Response Id,Status,Completed Date,1. Why Did You Stay With Us?,2. How Did You Hear About Us? - Stayed Previously,3. How Did You Hear About Us? - Recommendation/Word Of Mouth,4. how did you hear about us? - lewtrenchard manor emails,5. How Did You Hear About Us? - Advertisement,6. How Did You Hear About Us? - Www.Lewtrenchard.Co.Uk,7. How Did You Hear About Us? - Internet Searches (E.G. Google  Yahoo  Etc.),8. How Did You Hear About Us? - Magazine/Newspaper Article,9. How Did You Hear About Us? - Organisation Booked,10. How Did You Hear About Us? - Social Media (E.G. Facebook  Twitter  Etc),11. How Did You Hear About Us? - Trip Advisor,12. How Did You Hear About Us? - Other,13. How Did You Make Your Reservation?,14. Your Overall Experience At Lewtrenchard Manor?,15. Stay At Lewtrenchard Manor In The Future?,16. Recommend Lewtrenchard Manor To Your Friends And/Or Colleagues?,17. How Would You Summarise Your Experience At Lewtrenchard Manor?,18. The Staff Were Friendly  Welcoming And Professional,19. The Ambience  Design And Interior Decoration Appealed To Me,20. The Atmosphere Was Warm And Friendly,21. Do You Have Any Other Comments Regarding Your Arrival And/Or Any Pre Arrival Contact?,22. The Room Was Luxurious And Well Appointed,23. There Was A Good Selection Of Products In My Bathroom,24. The Room Was Cleaned To A High Standard,25. Do You Have Any Other Comments Regarding Your Bedroom/Suite? Please Start Your Comment With Your Room/Suite Number.,26. Did You Dine With Us?,27. Did You Use The Spa Facilities?,28. Where Did You Dine? - Table D’Hôte,29. Where Did You Dine? - Tasting Menu,30. Where Did You Dine? - Bar Menu,31. Where Did You Dine? - Private Dining,32. Where Did You Dine? - Function Room,33. The Food Was Excellent,34. The Service Was Friendly & Professional,35. The Overall Dining Experience Was Exceptional,36. Do You Have Any Other Comments Regarding Lewtrenchard Manor As A Dining Venue?,37. Why Did You Visit The Spa At Lewtrenchard Manor?,38. The Staff Were Friendly And Professional,39. The Facilities Were Of A High Standard,40. The Overall Spa Experience Was Exceptional,41. The Quality Of The Treatments Were Of A High Standard,42. Do You Have Any Other Comments Regarding The Spa At Lewtrenchard Manor?,43. There Was Appropriate Meeting Support Material In The Room (E.G. Flip Charts  Pens  Etc.),44. We Were Able To Access The Internet Easily,45. Refreshments Were Delivered As Requested,46. Our Business Meeting Requirements Were Met,47. Do You Have Any Other Comments Regarding Lewtrenchard Manor As A Business Venue?,48. Were Polite And Courteous At All Times,49. Were Attentive To My Needs,50. Made Me Feel Well Looked After,51. Was There Any Particular Member Of The Team You Would Like To Acknowledge And Why?,52. You Were Sad To Leave,53. The Final Account Was Accurate,54. How Did Your Experience With Us Meet With Your Expectations?,55. Was There Anything Else That We Could Have Done To Enhance Your Overall Experience?,56. Do You Have Any Further Comments?,57. What Is Your Gender?,58. Which Of The Following Ranges Includes Your Age?,59. Would You Like To Receive Any Further Information From Lewtrenchard Manor Regarding? - Special Offers,60. Would You Like To Receive Any Further Information From Lewtrenchard Manor Regarding? - Accommodation,61. Would You Like To Receive Any Further Information From Lewtrenchard Manor Regarding? - Restaurant,62. Would You Like To Receive Any Further Information From Lewtrenchard Manor Regarding? - Weddings,63. Would You Like To Receive Any Further Information From Lewtrenchard Manor Regarding? - Events,64. Would You Like To Receive Any Further Information From Lewtrenchard Manor Regarding? - Conferences,65. Would You Like To Receive Any Further Information From Lewtrenchard Manor Regarding? - Relaxation Therapy,66. Would You Like To Receive Any Further Information From Lewtrenchard Manor Regarding? - Christmas,67. Please Complete The Following (Optional):,68. If You Do Not Want Us To Publish Your Review Online... - ... Please Select The Box
87,Partial,18/02/2014 12:33,Leisure,Stayed Previously,,,,,,,,,,,Emailed Direct,Excellent,Definitely Yes,Definitely Yes,Peaceful  Friendly Relaxing With Good Food And Service,Strongly Agree,Strongly Agree,Strongly Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Complete,18/02/2014 12:53,Leisure,Stayed Previously,,,,,,,,,,,Emailed Direct,Excellent,Definitely Yes,Definitely Yes,The Atmosphere Is Relaxed But Staff Attentive And Friendly. The Room Was Very Comfortable And Clean. I Like The Attitude To Guest Dogs As Sometimes Places That Say They Accept Dogs Put Quite A Lot Of Constraints On Where They Can And Can`T Go And I Have Felt Both Times We Have Visited The Dogs Are As Welcome As Us. Food Was Lovely Again And I Know We Will Visit Again. Thank You,Strongly Agree,Strongly Agree,Strongly Agree,No Level Of Contact Was Suffcient,Strongly Agree,Strongly Agree,Strongly Agree,,Yes,,Table D’Hôte,,,,,Strongly Agree,Strongly Agree,Strongly Agree,,,,,,,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,,Strongly Agree,Strongly Agree,Exceeded,,,Female,45-54,Special Offers,,,,,,,,Nicki Chapman,
89,Complete,18/02/2014 13:30,Leisure,Stayed Previously,,,,,,,,,,,Called Direct,Excellent,Definitely Yes,Definitely Yes,Yet Another Lovely Stay .Room Nice And Warm On Arrival .
Dinner Excellent.
Breakfast Excellent 
We Had No Heating Or Hot Water After Supper Or In The Morning Due To Boiler Disaster .
Staff Found Us A Room Inside The Main Hotel Where We Could Use A Bathroom And Warmed The Room For Us With A Heater.
Champagne On Check Out Was A Kind And Thoughtful Touch.
Can't Wait To Return.,Strongly Agree,Strongly Agree,Strongly Agree,,Agree,Agree,Strongly Agree,,Yes,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,Always A Good Standard .Dining Rooms Charming Staff Very Good,,,,,,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,Felt Very Sorry For The Lady Who Had To Check Everyone Out And Explain About Boiler .She Was Very Professional ,Strongly Agree,Strongly Agree,Met,,Thank You All For Another Great Stay .Love The Big Roaring Fires ,Female,55-64,Special Offers,,,,,,,,Maxine Bartholomew ,
90,Complete,18/02/2014 13:36,Leisure,Stayed Previously,,,,,,,,,,,Emailed Direct,Excellent,Definitely Yes,Definitely Yes,Welcoming And Relaxing Just A Shame It Was So Short,Agree,Agree,Agree,,Agree,Agree,Agree,The Room Was A Little Cold. I Didn't Say Anything As I Don't Mind But On Reflection You Should Know For Future Guests.,Yes,,,,,,,Agree,Agree,Agree,,,,,,,,,,,,,Agree,Agree,Agree,,Agree,Agree,Met,,,Female,45-54,Special Offers,,,,,,,,Sara Evans,... Please Select The Box
91,Complete,18/02/2014 13:51,Leisure,,,,,,,,,,Trip Advisor,,Emailed Direct,Excellent,Definitely Yes,Definitely Yes,A Delightful Time.,Strongly Agree,Strongly Agree,Strongly Agree,Genuine And Warm,Strongly Agree,Strongly Agree,Strongly Agree,Shower A Bit Slow And Floor Freezing But For The Location Not A Problem.,Yes,,Table D’Hôte,,Bar Menu,,,Strongly Agree,Strongly Agree,Strongly Agree,Perfect,,,,,,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,All ,Strongly Agree,Strongly Agree,Exceeded,Nothing More,Just Thanks,Male,35-44,Special Offers,,,,,,,,,... Please Select The Box
92,Complete,18/02/2014 14:20,Leisure,,,,,,Internet Searches (E.G. Google  Yahoo  Etc.),,,,,,Called Direct,Good,Maybe,Yes,Comfortable  Relaxed  With Extremely Helpful Staff And Good Food,Strongly Agree,Agree,Agree,Jo On Reception Was Very Accomodating And Helpful Regarding Our Stay,Strongly Agree,Agree,Strongly Agree,,Yes,,Table D’Hôte,,,,,Agree,Strongly Agree,Agree,,,,,,,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,Jo  For Managing Our Booking When We Had To Change The Dates Of Our Stay Due To My Daughter's Illness,Agree,Strongly Agree,Met,,,Male,25-34,,,,,,,,,Mike Woodcock,
93,Complete,18/02/2014 14:50,Leisure,,,,,,,,,,,Other: Friends Of Janie And James In Dartmouth,Called Direct,Excellent,Definitely Yes,Definitely Yes,Travelling With Our Bichon We Were Treated Beautifully - Loved The Whole Experience And Especially The Food,Strongly Agree,Strongly Agree,Strongly Agree,,Strongly Agree,Strongly Agree,Strongly Agree,,Yes,,Table D’Hôte,,,,,Strongly Agree,Strongly Agree,Strongly Agree,,,,,,,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,,Strongly Agree,Strongly Agree,Exceeded,,,Female,65+,Special Offers,,,,,,,,Mr And Mrs Mj Smither,... Please Select The Box
94,Partial,18/02/2014 17:56,Leisure,,Recommendation/Word Of Mouth,,,,,,,,,,Called Direct,Good,Yes,Definitely Yes,Interesting Welcoming And Relaxed. A Comfortable Spot,Agree,Agree,Agree,,Agree,Neither Agree Nor Disagree,Agree,Liked The Separate Sitting Room,Yes,,Table D’Hôte,,,,,Neither Agree Nor Disagree,Agree,Disagree,,,,,,,,,,,,,Agree,Agree,Agree,,Neither Agree Nor Disagree,Agree,Met,,,,,,,,,,,,,,
95,Complete,19/02/2014 04:22,Leisure,Stayed Previously,,lewtrenchard manor emails,,,,,,,,,Called Direct,Excellent,Definitely Yes,Definitely Yes,Always A Pleasure To Come And Stay  Service Is Friendly And Efficient Without Being Imposing.
Food Has Always Been Great.
In Places  Decor Is Looking A Bit Tired Now And Could Do With A Little Attention  However This Does Not Detract From The Overall Experience.,Strongly Agree,Strongly Agree,Strongly Agree,Being Recognised On Arrival And Comments Like "Nice To See You Again" Make You Feel That You Are Very Welcome.,Agree,Strongly Agree,Strongly Agree,Nonnington Was Great.
But Seeing As You Asked  And As Previously Stated  The Decor To Do With A Little Attention  And The Lower Hinge On The Main Door Needs The Screws Tightening.,Yes,,,Tasting Menu,,,,Strongly Agree,Strongly Agree,Strongly Agree,Dining Has Always Been Great.,,,,,,,,,,,,Strongly Agree,Strongly Agree,,........Jo  Just For Being Very Nice.,Neither Agree Nor Disagree,Strongly Agree,Met,,,Male,35-44,Special Offers,Accommodation,Restaurant,,,,,,Tim Staplin,... Please Select The Box
96,Complete,19/02/2014 06:51,Private Celebration,,,,,Www.Lewtrenchard.Co.Uk,,,,,,,Emailed Direct,Excellent,Definitely Yes,Definitely Yes,One Of The Best Experiences Ever. The Whole Stay Was An Absolute Delight.,Strongly Agree,Strongly Agree,,We Couldn't  Initially Get The Front Door Open  But The Receptionist Was Only Moments Arriving To Let Us In  Having Seen Us Approaching. ,Strongly Agree,Strongly Agree,Strongly Agree,We Stayed In The St. Gertrude Suite.

The Shower In The Bathroom Didn't Seem To Work  Could Well Have Been Us Doing   Or Not Doing  Something Very Simple.,Yes,,Table D’Hôte,,,,,Strongly Agree,Strongly Agree,Strongly Agree,It Was A Very Good Meal With All The Courses Explained To Us As They Were Served.,,,,,,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,No One Member In Particular: All Were Polite And Helpful When Needed.,Agree,Strongly Agree,Exceeded,We Would Perhaps Have Liked To Have Seen  On The Portraits  A Note As To Who They Were. A Very  Very Minor Thing I Know.,The Overnight Stay  In Celebration Of My Husband's Birthday  Was A Delight. We Were Looked After Very Well And Look Forward To Returning For At Least An Afternoon Tea At Some Point. ,Female,65+,Special Offers,Accommodation,,,Events,,,Christmas,Lynda Vickery,
97,Complete,19/02/2014 14:20,Leisure,Stayed Previously,,,,,,,,,,,Www.Lewtrenchard.Co.Uk,Good,Maybe,Maybe,Good Overall. Staff Very Pleasant  Service Good. Food Wise Our Expectations Were A Bit More Than Was Delivered. ,Agree,Agree,Agree,,Agree,Agree,Neither Agree Nor Disagree,,Yes,,Table D’Hôte,,,,,Disagree,Agree,Disagree,It Was Fine But We Would Have Liked To Have Been Blown Away By The Food.,,,,,,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,,Neither Agree Nor Disagree,Agree,Met,Put 'Wow-Factor' In The Food!,,Female,55-64,Special Offers,,,,,,,,T Chipperfield,
98,Complete,20/02/2014 02:38,Leisure,Stayed Previously,,,,,,,,,,,Www.Lewtrenchard.Co.Uk,Good,Yes,Yes,Lovely Stay  Staff Very Friendly And Helpful.,Strongly Agree,Strongly Agree,Strongly Agree,,Agree,Agree,Strongly Agree,Would Like Tea And Coffee Making Facility In Room  Although Complimentary Available In Morning Which Was Great. Thanks!,Yes,,,,Bar Menu,,,Agree,Agree,Neither Agree Nor Disagree,Would Prefer More Choice For Bar Menu  But Food We Had Was Very Nice. We Don't Tend To Eat Large Meals With Several Courses.,,,,,,,,,,,,Strongly Agree,Agree,Agree,Not Sure Of Name  But Lady Who Showed Us To Our Room On Arrival. Very Nice  Polite And Friendly Throughout Stay.,Agree,Agree,Met,,,Female,45-54,Special Offers,,,,,,,,Christine Martin,
99,Complete,21/02/2014 04:29,Leisure,,,,,,,,,,,Other: Booking.Com,Other: ,Excellent,Definitely Yes,Definitely Yes,It Was Perfect  From The Welcome We Received Through To The Peace And Tranquility It Was The Perfect Escape. No Mobile Signal Was A Definite Perk! ,Strongly Agree,Strongly Agree,Strongly Agree,I Would Book Directly In Future  The Staff Were All So Hospitable And Helpful. It Really Was A Great Get Away And We Will Definitely Be Returning! ,Strongly Agree,Strongly Agree,Strongly Agree,,No,,,,,,,,,,,,,,,,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,The Lady Working On Reception When We Arrived  I Didn't Catch Her Name  But She Was Really Welcoming  Friendly And Made Us Feel At Home. ,Strongly Agree,Agree,Exceeded,,,Female,25-34,Special Offers,Accommodation,,,,,,,Rebecca Murch,
100,Complete,22/02/2014 06:38,Other: Valantines Day Celebration,,,,,,,Magazine/Newspaper Article,,,,,Called Direct,Good,Yes,Yes,Our Stay Was Enjoyable  The Staff Were Very Nice .I Felt That The Dining Room Was A Little On The Cold Side.Our Room Was Very Nice .The Little Touches Such As Flowers And Champagne Were Very Well Received.
                                                                                      Thank You Very Much,Strongly Agree,Strongly Agree,Strongly Agree,,Agree,Agree,Strongly Agree,,Yes,,,Tasting Menu,,,,Agree,Agree,Agree,,,,,,,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,The Gentleman Who Took My Booking On The Telephone And Was On Reception When We Checked Out Was Most Helpful.,Agree,Agree,Met,I Don't Think So.,We Would Like To Look Forward To A Future Visit.,Male,45-54,Special Offers,Accommodation,Restaurant,,,,Relaxation Therapy,,Steven Bailey,
101,Complete,23/02/2014 06:39,Leisure,Stayed Previously,,,,,,,,,,,Called Direct,Good,Maybe,Yes,At The Top End Of "Good"  Not Far Short Of "Excellent".,Agree,Agree,Agree,,Agree,Agree,Agree,We Were In St Gertrude.  Overall We Liked The Room A Lot.  When We Arrived After A Damp Journey  The Room Was Full Of Sunshine And Felt Particularly Welcoming.  A Couple Things To Think About  However:

(I) Some Sign Of Wear And Tear In The Bathroom (Eg Tiles Under Basin And On Floor).
(Ii) The Windows Do Not Shut Tightly  And In High Winds (Which Happened While We Were Staying) The Draft Appreciable.,Yes,,Table D’Hôte,Tasting Menu,,,,Agree,Agree,Agree,We Stayed Three Nights  Dining Twice Off The Table D'hote Menu  And Once With The Tasting Menu.  While The Food Was Very Good On All Three Occasions  The Extent Of Duplication Between The Table D'hote Menu And The Tasting Menu  And The Fact That The Table D'hote Menu Did Not Change Meant That By The Third Night We Found That Options That Avoided Repetition Were Limited.,,,,,,,,,,,,Agree,Agree,Agree,No  They Were All Good.,Neither Agree Nor Disagree,Agree,Met,It Is A Shame That The Open Fires Have To Be Hidden Behind The Large Metal Guards.  Perhaps This Could Be Overcome If The Fires Were A Bit Bigger.  On Our First Evening The Bar Felt Cold  Which Seemed Almost To Be Exacerbated By The Small Size Of The Fire In The Large Fireplace.  Make Them Big!  Let Them Roar!,I Woke On Our Last Morning Feeling Unwell.  Please Be Assured That I Put This Down To A Gastric Bug  Not Food Poisoning!  I Was Disappointed Not To Be Able To Have My Final Full Lewtrenchard Breakfast.,Male,45-54,,,,,,,,,Tim Lowth,... Please Select The Box
102,Complete,28/02/2014 05:46,Leisure,,,,,,,Magazine/Newspaper Article,,,,,Called Direct,Good,Maybe,Maybe,The Room Was Excellent And The Staff Were Very Pleasant And Efficient. The Room We Ate In On Our Arrival Was Rather Sterile And Lacked Any Atmosphere. We Were Surprised That Having Been Informed On The Phone And By E Mail That Jeans Were Not Acceptable Wear For Dining That There Were People In The Dining Room Wearing Jeans.,Strongly Agree,Disagree,Agree,,Strongly Agree,Neither Agree Nor Disagree,Strongly Agree,,Yes,,Table D’Hôte,,,,,Agree,Strongly Agree,Neither Agree Nor Disagree,As Before  The Large Room Was Devoid Of Any Atmosphere And Not Really Condusive To A Valentines Dinner,,,,,,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,,Neither Agree Nor Disagree,Agree,Fell Below,,,Male,55-64,,,,,,,,,Bill Lea,... Please Select The Box
